,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,A. Gee,Cleveland,125,150,189,206,59,457,197,72,205,62,120,88
1,T. Thompson,Cleveland,95,148,240,336,0,683,3,72,399,266,106,72
2,K. Irving,Cleveland,283,194,230,332,95,685,227,50,154,30,158,102
3,D. Waiters,Cleveland,173,149,201,253,60,571,190,57,118,21,111,105
4,A. Varejão,Cleveland,84,77,102,138,0,284,5,25,223,138,44,51
5,C. Miles,Cleveland,63,73,84,124,123,278,320,62,144,23,66,60
6,T. Zeller,Cleveland,90,110,144,210,0,473,3,67,252,150,87,62
7,D. Gibson,Cleveland,75,23,34,24,56,77,159,43,53,4,31,29
8,L. Walton,Cleveland,154,10,20,48,20,105,65,46,102,38,59,16
9,D. Sloan,Cleveland,37,20,25,20,7,59,19,18,25,3,13,13
10,A. Price,Washington,185,34,43,72,52,171,156,48,82,17,55,44
11,T. Ariza,Washington,109,68,84,105,69,227,189,52,205,41,78,66
12,E. Okafor,Washington,86,97,170,301,0,621,0,71,452,185,96,57
13,B. Beal,Washington,136,115,143,189,90,444,232,55,164,42,88,100
14,T. Booker,Washington,32,33,59,87,0,178,5,39,117,81,25,19
15,J. Veselý,Washington,22,12,39,50,0,102,1,42,67,41,24,11
16,M. Webster,Washington,132,144,168,132,133,279,309,70,226,45,82,68
17,J. Crawford,Washington,157,80,98,152,59,337,171,43,104,31,97,70
18,C. Singleton,Washington,32,39,65,73,6,184,32,45,113,51,39,28
19,J. Pargo,Washington,14,2,2,5,3,12,20,7,6,0,8,6
20,E. Barron,Washington,3,2,5,13,0,37,0,10,27,16,10,2
21,L. James,Miami,524,375,497,626,101,1049,250,72,491,95,218,120
22,M. Chalmers,Miami,243,65,85,96,111,211,269,71,139,16,108,50
23,S. Battier,Miami,62,26,31,14,126,40,292,66,114,36,30,35
24,D. Wade,Miami,332,293,396,532,17,988,66,66,245,83,185,94
25,C. Bosh,Miami,110,219,278,442,19,795,67,70,344,127,121,60
26,U. Haslem,Miami,38,28,41,114,0,222,0,70,284,88,39,19
27,N. Cole,Miami,132,41,60,118,25,271,77,71,88,13,75,39
28,R. Allen,Miami,114,85,100,134,125,277,296,71,161,37,83,51
29,R. Lewis,Miami,20,13,25,30,35,73,86,45,70,11,21,21
30,M. Miller,Miami,66,5,7,17,44,39,119,48,100,11,18,20
31,B. Bass,Boston,75,112,130,239,0,505,2,73,263,116,70,38
32,K. Garnett,Boston,149,152,194,402,2,806,16,65,434,73,106,65
33,P. Pierce,Boston,348,307,386,314,136,677,358,72,427,43,206,103
