,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
459,Y. Ferrell,Dallas,123,51,57,62,50,151,115,29,66,13,45,23
460,B. Wright,Memphis,8,18,26,68,0,109,1,21,37,23,6,13
461,L. Patterson,Atlanta,6,2,3,2,1,9,6,4,6,1,4,2
462,J. O'Bryant,Denver,2,4,4,5,2,12,3,6,6,5,3,0
463,J. Huestis,Oklahoma City,1,0,0,2,1,2,2,1,2,2,0,0
464,M. Plumlee,Charlotte,2,3,4,11,0,14,0,7,18,5,3,1
465,K. Middleton,Milwaukee,80,66,75,91,38,192,85,24,89,9,55,29
466,L. Stephenson,Minnesota,5,1,2,10,0,19,2,5,10,0,4,4
467,B. Weber,Golden State,5,2,3,5,0,11,3,7,4,0,3,1
468,D. Williams,Cleveland,69,37,50,63,30,110,78,24,76,4,34,16
469,R. Price,Phoenix,6,1,2,0,2,3,11,5,6,2,1,1
470,D. Wright,Toronto,44,35,46,35,8,72,25,21,29,12,20,15
471,M. Tobey,Charlotte,1,0,0,1,0,4,0,2,1,2,1,0
472,M. Plumlee,Denver,62,36,56,70,0,126,1,20,98,36,35,10
473,J. Nurkić,Portland,63,64,97,120,0,235,1,20,138,67,61,30
474,T. Ross,Orlando,28,19,22,56,37,107,106,18,52,4,29,28
475,D. Cousins,New Orleans,54,78,102,93,31,194,82,15,148,32,53,30
476,O. Casspi,New Orleans,0,0,0,3,2,5,4,1,1,1,2,1
477,H. Thompson,New Orleans,9,6,9,5,6,17,24,9,24,4,2,4
478,L. Williams,Houston,45,68,81,48,35,108,99,18,39,9,26,31
479,B. Johnson,LA Clippers,1,0,0,1,0,4,0,2,2,1,1,1
480,T. Evans,Sacramento,27,21,30,35,21,85,45,12,39,5,18,13
481,B. Hield,Sacramento,31,24,29,57,41,102,100,19,67,11,41,14
482,B. Bogdanović,Washington,16,56,61,52,35,95,91,20,50,12,30,30
483,E. İlyasova,Atlanta,26,42,52,41,26,89,65,19,87,29,25,24
484,D. McDermott,Oklahoma City,11,9,10,29,16,56,42,16,30,5,5,18
485,T. Gibson,Oklahoma City,12,19,29,64,1,128,1,17,45,31,22,22
486,C. Brewer,LA Lakers,19,11,16,34,4,66,19,17,30,8,11,10
487,S. Ibaka,Toronto,15,23,26,67,36,141,80,18,94,25,34,25
488,P. Tucker,Toronto,22,9,14,25,18,58,47,19,85,20,12,14
489,L. Galloway,Sacramento,11,2,2,10,9,35,21,13,11,3,10,9
490,J. Anderson,Philadelphia,23,13,15,39,12,65,47,17,58,23,19,12
491,C. Payne,Chicago,15,1,4,10,11,29,34,10,15,1,13,4
492,J. Lauvergne,Chicago,12,5,11,17,3,46,13,13,31,13,9,7
493,N. Noel,Dallas,13,26,38,56,0,100,0,15,73,38,16,7
494,J. Jack,New Orleans,5,2,2,2,0,2,1,2,0,0,3,0
495,T. Ennis,LA Lakers,27,9,11,26,9,54,27,14,12,6,12,9
496,Q. Cook,Dallas,12,0,2,6,5,10,14,5,3,0,8,4
497,D. Nwaba,LA Lakers,7,14,21,26,1,45,3,15,35,10,5,6
498,C. McCullough,Washington,0,1,2,0,0,0,0,1,0,0,0,0
499,A. Toupane,Milwaukee,0,0,0,0,0,0,1,1,0,0,0,0
500,M. Barnes,Golden State,37,17,19,15,14,30,41,16,57,13,23,10
501,J. O'Bryant,Charlotte,4,1,2,7,1,12,3,4,4,4,3,1
502,B. Weber,Charlotte,12,5,7,16,0,30,3,11,11,7,2,5
503,N. Cole,Oklahoma City,10,2,2,8,1,23,5,8,5,0,7,2
504,J. Harper,Philadelphia,2,0,0,3,2,5,7,3,3,3,4,0
505,B. Jennings,Washington,83,9,13,12,8,32,37,17,22,5,16,5
506,S. Hawes,Milwaukee,15,6,9,12,6,20,18,14,21,5,5,1
507,K. McDaniels,Brooklyn,7,15,18,27,7,45,26,13,29,8,13,13
508,A. Nicholson,Brooklyn,3,2,2,9,2,17,8,7,18,3,3,2
509,B. Bentil,Dallas,0,0,0,0,0,2,1,2,2,0,1,1
510,C. Randle,New York,23,17,18,11,7,26,19,12,13,6,5,6
511,S. Long,Philadelphia,9,16,29,38,5,57,10,12,32,20,10,9
512,A. Morrow,Chicago,0,3,3,2,3,5,4,3,0,0,0,1
513,J. Crawford,New Orleans,38,9,10,36,31,72,69,13,24,4,15,12
514,J. Calderón,Atlanta,17,5,6,6,2,12,15,10,11,4,6,5
515,M. Harris,Dallas,2,2,4,3,0,13,2,4,6,3,2,4
516,R. Hibbert,Denver,1,0,0,2,0,3,0,3,1,1,0,1
517,J. Uthoff,Dallas,1,0,0,1,0,4,0,2,1,2,0,1
518,T. Jones,Milwaukee,0,0,0,0,0,3,0,3,3,0,0,0
519,L. Sanders,Cleveland,0,0,0,0,0,1,0,1,0,0,0,0
520,W. Selden,New Orleans,1,2,4,1,4,1,7,3,5,0,3,1
521,W. Selden,Memphis,0,2,2,2,0,2,6,5,2,0,1,0
522,A. Goodwin,Brooklyn,11,8,12,12,2,16,5,5,7,3,2,1
523,J. Eddie,Phoenix,0,8,9,2,4,3,16,4,6,1,1,4
524,Q. Cook,New Orleans,2,0,0,1,2,1,4,3,1,0,0,0
525,O. Casspi,Minnesota,3,2,2,5,1,9,4,5,2,1,6,3
526,T. Splitter,Philadelphia,1,2,3,1,1,3,1,2,3,2,1,1
