,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,A. Davis,New Orleans,119,305,377,566,1,1039,10,59,462,152,83,111
1,J. Holiday,New Orleans,262,58,68,179,47,381,127,37,101,30,89,82
2,T. Evans,New Orleans,452,181,257,399,63,839,209,70,296,72,222,190
3,Ö. Aşık,New Orleans,64,120,201,190,0,359,1,67,452,214,90,37
4,E. Gordon,New Orleans,207,87,108,120,117,312,265,52,119,22,113,86
5,R. Anderson,New Orleans,51,115,135,155,111,327,324,52,164,99,56,81
6,J. Fredette,New Orleans,57,40,41,54,9,116,48,43,32,8,32,20
7,A. Rivers,New Orleans,87,53,71,72,14,172,50,35,56,12,30,26
8,J. Salmons,New Orleans,13,2,4,8,8,22,26,19,17,4,5,10
9,A. Ajinça,New Orleans,43,76,92,168,0,300,0,58,193,99,63,35
10,J. Withey,New Orleans,11,33,48,32,0,64,0,30,39,22,10,11
11,E. Fournier,Orlando,118,101,141,164,80,344,214,56,119,26,78,60
12,E. Payton,Orlando,466,106,195,262,8,596,35,74,217,96,187,107
13,N. Vučević,Orlando,122,152,199,559,2,1063,4,66,521,215,134,97
14,T. Harris,Orlando,116,171,215,318,74,642,205,61,311,62,103,91
15,K. O'Quinn,Orlando,58,43,53,103,12,193,42,49,147,43,53,18
16,B. Gordon,Orlando,50,54,64,94,35,198,97,55,57,6,55,31
17,D. Dedmon,Orlando,7,26,52,76,0,134,1,50,144,95,37,12
18,L. Ridnour,Orlando,95,16,19,55,18,111,59,45,60,8,38,24
19,W. Green,Orlando,63,23,29,68,34,162,96,45,55,14,40,31
20,A. Gordon,Orlando,23,37,52,62,11,115,35,38,94,28,33,20
21,D. Marble,Orlando,17,5,16,10,4,22,22,14,26,5,9,4
22,T. Parker,San Antonio,297,121,151,328,37,670,85,60,109,15,135,67
23,M. Bonner,San Antonio,45,29,36,46,45,102,118,62,77,27,11,34
24,D. Green,San Antonio,141,87,98,125,173,266,422,73,271,53,83,77
25,T. Duncan,San Antonio,208,199,272,376,2,750,7,69,483,156,116,68
26,M. Belinelli,San Antonio,88,72,86,101,75,216,198,55,116,23,54,52
27,M. Ginóbili,San Antonio,264,134,182,151,78,308,229,62,161,24,141,61
28,B. Diaw,San Antonio,207,65,86,205,50,399,155,73,238,69,112,72
29,A. Baynes,San Antonio,31,73,86,149,1,271,4,61,180,93,60,22
30,C. Joseph,San Antonio,165,99,133,172,14,335,39,67,124,40,58,49
31,C. Parsons,Dallas,152,135,188,241,129,468,337,64,253,63,93,104
32,T. Chandler,Dallas,80,161,224,259,0,395,0,68,504,272,101,44
33,M. Ellis,Dallas,306,203,263,471,81,975,269,73,140,33,178,147
34,J. Nelson,Dallas,95,7,8,23,38,60,103,23,49,14,39,20
35,D. Nowitzki,Dallas,132,211,235,347,95,722,249,70,377,43,71,108
36,D. Harris,Dallas,219,122,147,109,91,230,258,70,119,13,76,65
37,B. Wright,Dallas,10,36,48,101,0,135,0,27,59,51,13,10
38,J. Crowder,Dallas,12,10,11,20,13,38,38,24,17,12,10,13
39,A. Aminu,Dallas,44,67,93,97,29,193,112,66,189,89,47,36
40,R. Jefferson,Dallas,54,58,91,68,55,145,131,65,144,23,44,36
41,C. Boozer,LA Lakers,90,91,146,357,0,703,0,66,358,101,89,73
42,J. Hill,LA Lakers,97,120,163,335,3,720,7,65,364,169,100,86
43,J. Lin,LA Lakers,329,196,245,205,63,449,169,70,161,24,160,99
44,W. Johnson,LA Lakers,112,81,101,175,79,381,230,69,220,54,82,70
