,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,N. Mirotić,Chicago,87,128,160,99,112,232,297,59,278,52,91,52
1,D. Rose,Chicago,297,136,170,386,44,857,145,63,172,43,166,150
2,P. Gasol,Chicago,278,215,268,414,21,873,61,67,590,146,154,94
3,J. Butler,Chicago,265,347,418,364,58,749,184,60,250,65,112,103
4,A. Brooks,Chicago,168,45,60,112,61,269,172,63,78,20,73,49
5,E. Moore,Chicago,95,22,35,136,45,274,98,57,109,18,51,45
6,J. Noah,Chicago,109,22,45,51,0,132,1,29,168,87,52,22
7,D. McDermott,Chicago,51,58,67,162,107,349,250,74,147,36,49,91
8,T. Gibson,Chicago,106,100,144,263,0,498,3,73,298,206,78,57
9,T. Snell,Chicago,60,25,28,67,53,174,149,60,170,19,51,44
10,K. Love,Cleveland,171,234,285,237,138,503,397,71,562,144,129,118
11,L. James,Cleveland,473,327,453,600,78,1060,266,71,422,101,229,159
12,T. Mozgov,Cleveland,27,62,87,191,1,333,7,69,203,107,67,27
13,M. Williams,Cleveland,96,34,38,95,34,195,96,38,63,6,56,30
14,J. Smith,Cleveland,118,41,64,139,180,318,463,71,162,39,55,113
15,R. Jefferson,Cleveland,54,50,77,70,64,125,161,69,101,13,40,32
16,T. Thompson,Cleveland,57,138,216,229,0,393,0,75,439,249,58,41
17,M. Dellavedova,Cleveland,310,42,51,99,94,249,225,69,117,28,107,56
18,J. Jones,Cleveland,13,21,26,13,37,31,94,38,38,7,10,10
19,J. Cunningham,Cleveland,19,30,48,23,10,60,32,24,26,3,18,14
20,A. Varejão,Cleveland,20,16,21,32,0,75,1,31,67,24,16,11
21,K. Bazemore,Atlanta,152,113,138,195,99,392,278,70,313,25,123,81
22,K. Korver,Atlanta,156,25,28,105,145,208,366,74,229,14,91,57
23,P. Millsap,Atlanta,244,287,380,396,66,766,210,75,478,177,174,87
24,A. Horford,Atlanta,241,92,116,411,81,735,230,76,404,139,97,80
25,J. Teague,Atlanta,433,223,268,289,97,648,245,73,167,33,196,102
26,T. Sefolosha,Atlanta,98,58,90,138,41,234,119,69,264,50,62,33
27,T. Splitter,Atlanta,30,39,48,81,0,153,2,36,76,45,24,14
28,D. Schröder,Atlanta,330,134,163,240,73,501,222,74,171,23,168,74
29,L. Patterson,Atlanta,39,16,22,16,12,31,49,32,46,4,23,8
30,M. Muscala,Atlanta,32,29,37,61,11,105,37,52,75,35,27,9
31,M. Scott,Atlanta,74,46,59,109,58,208,150,67,143,48,41,21
