,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,S. O'Neal,Cleveland,80,112,226,262,0,462,1,53,262,93,105,38
1,A. Varejão,Cleveland,80,107,160,253,1,439,5,71,370,185,63,49
2,L. James,Cleveland,623,537,702,610,128,1091,373,73,458,70,252,128
3,M. Williams,Cleveland,332,118,135,199,143,448,341,64,169,26,161,77
4,A. Parker,Cleveland,139,65,84,86,99,192,240,75,182,25,66,43
5,Z. Ilgauskas,Cleveland,41,61,85,160,11,360,23,57,200,101,56,51
6,J. Hickson,Cleveland,29,99,147,257,0,458,1,74,251,93,84,47
7,D. Gibson,Cleveland,69,33,44,54,71,118,148,51,59,13,36,20
8,J. Moon,Cleveland,42,33,40,64,24,117,85,54,147,21,21,21
9,R. Allen,Boston,197,161,177,293,129,533,365,73,195,43,117,88
10,K. Garnett,Boston,169,161,194,370,1,693,5,63,405,72,95,58
11,P. Pierce,Boston,199,324,376,258,103,528,245,64,243,36,156,82
12,R. Rondo,Boston,714,150,243,395,15,734,69,73,235,89,223,72
13,R. Wallace,Boston,73,89,112,163,77,316,273,71,254,36,60,78
14,S. Williams,Boston,19,64,86,58,0,109,1,45,91,42,29,11
15,M. Daniels,Boston,63,32,52,107,4,202,24,45,62,25,41,25
16,E. House,Boston,48,28,30,65,64,155,167,50,62,7,27,47
17,K. Perkins,Boston,73,151,257,291,0,480,3,71,405,135,151,32
18,D. Nowitzki,Dallas,205,443,489,609,43,1254,110,74,492,70,136,116
19,Q. Ross,Dallas,7,5,8,20,3,43,13,24,16,11,3,8
20,J. Kidd,Dallas,672,71,88,92,161,220,380,73,359,44,178,60
21,E. Dampier,Dallas,26,55,93,121,1,192,3,48,246,114,55,27
22,S. Marion,Dallas,100,98,130,375,3,722,18,71,307,155,95,90
23,J. Terry,Dallas,268,203,232,299,125,620,341,70,112,19,103,90
24,D. Gooden,Dallas,26,93,115,156,1,330,6,45,193,123,56,44
25,J. Barea,Dallas,238,63,74,159,53,340,146,71,120,17,96,33
26,K. Humphries,Dallas,7,25,44,53,0,115,0,25,57,38,13,21
27,M. Miller,Washington,169,57,71,110,65,214,144,46,237,48,92,39
28,G. Arenas,Washington,229,152,204,190,63,435,181,32,116,17,117,81
29,C. Butler,Washington,107,164,187,268,25,599,95,47,248,68,113,91
30,F. Oberto,Washington,40,11,15,26,0,44,0,41,50,28,25,5
31,B. Haywood,Washington,18,102,158,188,0,335,0,49,307,200,67,48
32,A. Blatche,Washington,129,138,186,400,11,809,35,73,301,139,152,109
33,D. Stevenson,Washington,44,18,25,18,11,41,62,37,58,7,24,10
34,R. Foye,Washington,228,122,133,193,63,437,182,70,114,16,94,73
35,L. Aldridge,Portland,141,202,270,522,5,1041,16,72,405,173,100,106
36,S. Blake,Portland,203,24,31,65,78,148,207,51,103,15,65,29
37,G. Oden,Portland,19,49,64,92,0,152,0,21,114,64,39,22
38,B. Roy,Portland,283,318,406,395,70,768,209,60,200,67,121,95
39,M. Webster,Portland,57,106,131,122,117,283,319,75,210,43,54,89
40,T. Outlaw,Portland,8,21,24,26,12,70,31,11,25,13,12,14
41,A. Miller,Portland,416,273,331,347,16,742,75,75,170,77,157,92
42,R. Fernández,Portland,105,73,83,59,88,144,237,55,115,31,67,61
43,J. Przybilla,Portland,8,33,51,45,0,86,0,30,166,72,39,21
44,S. Battier,Houston,164,73,101,77,101,168,279,67,238,74,64,60
45,L. Scola,Houston,149,180,229,499,1,968,5,73,489,163,147,98
46,A. Brooks,Houston,391,199,248,336,184,736,478,74,150,49,210,134
47,C. Hayes,Houston,128,31,60,144,0,302,0,74,266,139,68,48
48,T. Ariza,Houston,244,133,203,236,118,552,366,65,293,68,145,135
49,C. Landry,Houston,40,229,274,302,0,552,0,52,164,122,86,61
50,K. Lowry,Houston,263,188,230,126,32,285,117,60,146,80,99,52
51,D. Andersen,Houston,44,46,67,120,27,262,78,63,154,54,37,39
52,P. Mensah-Bonsu,Houston,1,3,6,1,0,4,0,3,3,1,0,1
53,C. Budinger,Houston,76,61,80,134,75,268,215,66,162,30,43,65
54,A. Bynum,LA Lakers,68,193,261,392,0,687,1,65,364,177,115,61
55,L. Odom,LA Lakers,247,126,182,251,53,500,167,75,557,164,137,82
56,K. Bryant,LA Lakers,354,402,492,601,94,1213,285,70,300,72,226,151
57,D. Fisher,LA Lakers,184,92,107,119,73,298,212,75,139,24,72,63
58,M. World,LA Lakers,0,0,0,0,0,0,0,70,215,92,110,0
59,J. Farmar,LA Lakers,117,52,79,134,80,268,214,75,107,13,70,49
60,D. Ilunga-Mbenga,LA Lakers,8,6,15,36,0,78,0,35,45,26,12,9
61,J. Powell,LA Lakers,27,17,24,57,6,155,15,51,59,37,28,31
62,S. Brown,LA Lakers,99,88,107,170,53,352,161,75,136,28,60,53
63,L. Walton,LA Lakers,28,2,4,19,6,53,12,23,23,9,10,14
64,S. Vujačić,LA Lakers,36,14,16,29,22,58,66,49,46,18,15,18
