,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
427,S. Alabi,Toronto,1,0,0,2,0,4,0,4,1,0,1,0
428,B. Miller,Minnesota,7,7,8,0,1,5,3,9,4,1,6,2
429,E. Bledsoe,LA Clippers,30,13,20,16,3,44,14,24,19,11,21,6
430,R. Williams,Charlotte,53,28,37,65,27,126,90,27,55,24,29,14
431,K. Bogans,New Jersey,3,2,5,5,3,9,12,5,6,5,3,8
432,A. Johnson,Portland,0,0,0,1,0,1,0,1,1,0,1,0
433,I. Smith,Orlando,11,4,4,3,0,9,2,8,5,3,3,3
434,H. N'Diaye,Washington,0,0,0,0,0,1,0,1,0,0,0,0
435,C. Eyenga,Cleveland,4,2,6,2,1,17,2,5,9,3,2,2
436,K. Martin,LA Clippers,13,11,30,64,1,144,8,28,82,28,23,21
437,E. Dampier,Atlanta,4,0,0,1,0,7,0,9,12,8,3,4
438,D. Sloan,New Orleans,8,2,4,5,0,12,2,3,1,2,5,1
439,B. Uzoh,Cleveland,2,0,0,2,0,5,0,2,2,2,0,2
440,R. Reid,Oklahoma City,0,0,0,4,0,5,0,4,1,1,1,1
441,A. Emmett,New Jersey,1,5,8,4,0,6,1,4,4,2,2,0
442,H. Whiteside,Sacramento,0,2,4,7,0,17,0,11,12,7,3,3
443,S. Jones,New Orleans,7,15,18,23,0,53,0,11,20,21,13,7
444,J. Smith,New York,30,24,38,54,32,114,110,22,62,17,29,28
445,G. Smith,Houston,0,0,0,3,0,5,0,5,8,2,1,0
446,B. Lopez,New Jersey,6,20,32,38,0,77,0,5,10,8,6,10
447,B. Davis,New York,96,13,15,27,13,65,51,19,30,13,50,21
448,D. Liggins,Orlando,5,6,9,7,0,11,3,10,5,3,6,4
449,E. Dawson,San Antonio,0,1,2,7,0,12,0,4,5,5,3,3
450,G. Green,New Jersey,13,30,41,61,22,108,59,19,53,11,29,19
451,B. Simmons,LA Clippers,11,2,3,6,16,22,45,18,31,13,6,10
452,D. Carroll,Utah,3,3,4,10,2,28,6,9,6,11,1,11
453,J. Przybilla,Portland,3,9,14,13,0,29,0,15,63,21,11,6
454,M. Harris,Cleveland,7,17,23,18,1,46,8,9,22,3,8,6
