Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
A. Gee,Denver,25,53,74,59,10,123,27,46,51,33,29,23
A. Gee,New Orleans,73,44,66,114,17,193,61,71,185,60,55,23
A. Gee,Portland,3,1,4,9,1,16,3,10,4,3,4,2
A. Gee,San Antonio,0,0,0,1,0,3,0,2,1,2,3,0
A. Gee,Washington,12,26,41,33,7,75,11,18,29,26,18,15
A. Goodwin,Brooklyn,11,8,12,12,2,16,5,5,7,3,2,1
A. Goodwin,New Orleans,1,10,10,1,1,3,2,2,0,0,0,0
A. Goodwin,Phoenix,155,194,284,244,32,533,145,129,206,68,159,117
A. Gordon,Orlando,896,776,1110,1381,410,2718,1281,373,1814,589,521,497
A. Goudelock,Houston,2,0,0,5,1,6,3,2,0,0,0,1
A. Goudelock,LA Lakers,17,9,10,38,25,91,69,34,20,5,19,21
A. Gray,Chicago,2,2,7,8,0,21,0,8,11,5,1,2
A. Gray,New Orleans,25,27,43,73,0,117,0,51,122,82,41,12
A. Gray,Sacramento,16,10,18,21,0,47,1,27,54,32,23,6
A. Gray,Toronto,46,43,78,106,0,201,0,75,218,106,76,20
A. Hammons,Dallas,2,2,10,5,4,16,6,15,15,5,3,6
A. Harrington,Denver,167,178,262,365,181,719,539,118,516,137,191,145
A. Harrington,New York,109,227,301,303,134,607,392,70,314,84,126,96
A. Harrington,Orlando,10,3,4,12,8,27,30,9,21,6,7,6
A. Harrington,Washington,25,20,27,38,25,87,79,26,48,12,27,26
A. Harrison,Charlotte,4,5,12,1,2,9,10,21,9,4,3,3
A. Harrison,Cleveland,17,16,16,9,3,25,14,10,11,4,10,8
A. Harrison,Dallas,4,4,5,4,2,6,16,4,8,1,1,3
A. Harrison,Memphis,362,262,340,203,89,481,290,124,212,45,162,106
A. Harrison,New Orleans,7,1,2,1,2,2,10,6,3,2,2,1
A. Holiday,Indiana,301,112,131,207,126,467,338,114,192,27,123,94
A. Horford,Atlanta,1209,737,991,2601,101,4682,287,399,2552,912,621,440
A. Horford,Boston,904,241,307,811,244,1484,637,194,1056,297,334,189
A. Horford,Philadelphia,279,63,85,232,99,447,287,71,373,112,83,83
A. Iguodala,Denver,368,139,239,267,79,521,256,72,297,72,180,106
A. Iguodala,Golden State,1314,359,566,757,316,1290,913,388,1246,285,418,234
A. Iguodala,Miami,80,11,22,40,28,66,83,40,97,28,39,8
A. Iguodala,Philadelphia,1108,548,791,803,198,1672,593,187,1002,180,420,247
A. Ingram,LA Lakers,0,0,0,0,0,3,3,4,1,1,1,2
A. Iverson,Memphis,11,6,12,14,1,25,1,3,3,1,7,4
A. Iverson,Philadelphia,102,98,119,113,8,266,24,25,60,15,57,40
A. Jamison,Cleveland,215,333,495,650,183,1425,533,125,649,211,163,228
A. Jamison,LA Clippers,7,18,25,21,8,51,41,22,46,9,7,4
A. Jamison,LA Lakers,47,86,126,165,74,302,207,68,235,98,47,60
A. Jamison,Washington,52,152,217,257,58,532,168,41,263,99,61,86
A. Jefferson,Charlotte,304,326,491,1292,5,2616,17,168,1186,275,200,215
A. Jefferson,Indiana,86,91,117,339,0,663,2,99,307,105,53,55
A. Jefferson,Minnesota,127,167,248,536,0,1069,4,71,495,176,126,106
A. Jefferson,Orlando,5,9,18,9,0,22,0,22,21,13,3,2
A. Jefferson,Utah,372,468,610,1558,3,3137,20,193,1347,467,245,309
A. Johnson,Boston,251,122,201,393,34,637,100,147,520,277,158,79
A. Johnson,Indiana,7,8,14,10,4,29,10,24,39,17,7,10
A. Johnson,Orlando,61,19,20,34,13,70,39,28,38,8,26,13
A. Johnson,Philadelphia,150,72,113,169,19,296,63,113,264,149,97,50
A. Johnson,Portland,41,11,19,36,5,78,11,31,23,11,34,12
A. Johnson,Toronto,507,543,796,1483,38,2542,120,408,1620,989,529,323
A. Kirilenko,Brooklyn,54,55,108,68,1,129,5,42,80,47,49,18
A. Kirilenko,Minnesota,147,160,212,211,30,374,105,54,214,89,105,52
A. Kirilenko,Utah,350,379,500,435,62,837,187,122,415,176,196,123
A. Kirk,Cleveland,1,2,2,1,0,4,0,4,0,1,0,0
A. Law,Charlotte,3,6,7,5,0,15,1,8,1,0,3,2
A. Law,Chicago,16,20,27,17,4,33,12,11,11,3,12,7
A. Law,Golden State,77,52,68,80,7,148,33,45,45,9,35,19
A. Law,Memphis,14,6,10,3,0,13,6,11,8,3,10,3
A. Len,Atlanta,116,179,272,357,72,616,226,111,408,216,133,93
A. Len,Phoenix,232,534,756,850,5,1718,22,313,1384,644,396,191
A. Len,Sacramento,8,17,24,33,2,56,3,15,60,31,15,10
A. McDyess,San Antonio,147,83,126,337,0,702,3,136,515,245,137,76
A. McKinnie,Cleveland,14,22,31,59,14,106,65,38,76,37,26,19
A. McKinnie,Golden State,27,24,42,86,37,146,105,64,147,77,27,30
A. McKinnie,Toronto,1,2,3,4,3,5,8,7,6,0,3,1
A. Miller,Denver,872,266,327,497,39,998,141,156,355,112,330,128
A. Miller,Minnesota,58,12,16,35,1,54,4,24,18,6,25,7
A. Miller,Portland,939,457,549,712,20,1504,109,149,362,168,341,177
A. Miller,Sacramento,107,21,24,47,6,99,22,21,49,14,47,18
A. Miller,San Antonio,19,7,11,15,1,27,3,9,13,4,8,8
A. Miller,Washington,209,51,67,106,3,200,11,70,88,30,63,25
A. Mokoka,Chicago,4,2,4,6,6,13,15,10,3,7,2,6
A. Morrison,LA Lakers,17,5,8,25,4,58,19,27,21,9,8,7
A. Morrow,Atlanta,9,12,14,32,15,73,38,23,16,10,4,11
A. Morrow,Chicago,0,3,3,2,3,5,4,3,0,0,0,1
A. Morrow,Dallas,3,2,2,9,0,18,3,6,1,1,2,8
A. Morrow,Golden State,94,67,77,164,124,339,277,62,172,54,78,57
A. Morrow,New Jersey,113,160,172,300,202,648,495,105,219,62,113,136
A. Morrow,New Orleans,42,39,52,119,75,264,166,67,90,23,41,74
A. Morrow,Oklahoma City,93,102,117,228,220,466,571,164,190,56,59,170
A. Moultrie,Philadelphia,9,19,29,67,0,134,0,48,74,63,17,15
A. Nader,Boston,22,22,34,21,22,66,60,38,48,10,29,14
A. Nader,Oklahoma City,56,79,102,129,80,245,226,111,184,27,66,40
A. Nicholson,Brooklyn,3,2,2,9,2,17,8,7,18,3,3,2
A. Nicholson,Orlando,94,169,219,519,70,1031,213,210,544,151,173,118
A. Nicholson,Washington,7,7,12,27,3,61,16,28,23,11,11,10
A. Nocioni,Philadelphia,39,49,65,74,35,157,106,58,147,17,48,20
A. Nocioni,Sacramento,67,64,91,129,88,314,231,69,174,30,61,65
A. Onuaku,Cleveland,0,0,0,0,0,1,0,2,1,0,0,1
A. Onuaku,New Orleans,3,1,2,1,0,4,0,2,5,2,1,2
A. Onuaku,Orlando,2,0,0,2,0,4,0,5,4,2,2,0
A. Parker,Cleveland,423,151,204,268,213,625,546,177,439,61,174,111
A. Pasečņiks,Washington,18,34,58,61,0,113,3,24,65,42,24,7
A. Payne,Atlanta,0,1,2,2,0,6,1,3,3,1,0,0
A. Payne,Minnesota,52,49,67,123,12,288,47,79,192,61,71,53
A. Payne,Orlando,0,5,6,5,2,7,3,3,7,2,2,0
A. Peters,Phoenix,10,2,2,4,7,7,38,15,19,6,1,5
A. Poythress,Atlanta,17,18,29,31,9,58,23,20,47,29,13,10
A. Poythress,Indiana,2,0,0,7,4,14,11,18,10,7,2,2
A. Price,Cleveland,13,4,6,9,0,23,11,8,11,4,3,2
A. Price,Indiana,266,137,187,190,117,436,376,134,162,36,135,106
A. Price,Minnesota,13,0,2,13,6,24,22,23,9,1,7,8
A. Price,Phoenix,6,0,0,3,0,7,7,5,3,0,1,0
A. Price,Washington,185,34,43,72,52,171,156,48,82,17,55,44
A. Randolph,Denver,35,65,93,79,14,180,60,66,136,39,57,33
A. Randolph,Golden State,42,109,136,136,1,304,5,33,142,73,49,28
A. Randolph,Minnesota,27,60,86,119,0,238,1,39,95,51,50,21
A. Randolph,New York,7,6,12,13,1,41,4,17,29,11,10,6
A. Rautins,New York,3,1,2,2,1,3,4,4,1,0,7,2
A. Rivers,Houston,225,111,168,203,169,399,505,122,244,44,89,99
A. Rivers,LA Clippers,563,317,479,641,315,1319,870,227,415,77,303,255
A. Rivers,New Orleans,337,202,318,321,69,783,220,154,217,53,166,134
A. Rivers,Washington,58,25,46,43,33,88,106,29,61,10,36,24
A. Roberson,Oklahoma City,248,121,257,433,106,729,413,279,801,340,175,167
A. Schofield,Washington,15,10,15,16,19,31,61,28,40,7,7,12
A. Shved,Houston,3,9,11,4,4,12,12,9,3,1,5,4
A. Shved,Minnesota,316,166,226,179,107,440,362,124,179,58,184,112
A. Shved,New York,57,63,81,47,26,111,70,16,59,14,25,23
A. Shved,Philadelphia,46,48,57,35,17,73,57,17,14,8,18,5
A. Simons,Portland,111,84,106,153,83,345,254,90,144,26,73,69
A. Smailagić,Golden State,13,16,19,17,3,27,13,14,17,10,11,3
A. Stepheson,LA Clippers,0,0,2,1,0,1,0,3,1,1,0,0
A. Stepheson,Memphis,2,4,10,8,0,26,0,4,8,18,0,7
A. Stoudemire,Dallas,4,26,38,65,0,117,1,16,34,19,12,10
A. Stoudemire,Miami,27,46,62,111,0,198,0,46,143,62,42,22
A. Stoudemire,New York,315,939,1210,1587,15,3054,46,240,1091,538,540,328
A. Stoudemire,Phoenix,75,448,577,628,1,1130,6,75,462,205,196,116
A. Thomas,Orlando,2,1,1,3,0,6,3,3,3,0,0,2
A. Thornton,Golden State,5,25,30,39,0,72,1,16,35,7,17,9
A. Thornton,LA Clippers,61,101,136,215,5,446,14,51,107,85,66,56
A. Thornton,Washington,77,129,175,238,9,483,40,68,176,75,78,61
A. Tolliver,Atlanta,29,34,41,35,41,75,117,53,106,25,33,21
