Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
D. Miličić,Minnesota,149,89,170,390,0,826,0,110,356,199,202,117
D. Miličić,New York,4,0,0,8,0,17,0,7,13,5,2,2
D. Miller,New Orleans,318,132,158,165,309,337,796,220,349,43,151,116
D. Mitchell,Utah,887,802,964,1296,551,2652,1537,221,738,159,623,457
D. Morris,Brooklyn,40,4,9,27,7,65,32,32,16,7,17,19
D. Morris,LA Clippers,5,1,2,4,0,6,7,8,5,0,2,2
D. Morris,LA Lakers,84,30,45,58,26,138,67,57,40,24,57,30
D. Morris,Memphis,8,1,3,4,2,9,7,5,4,4,6,2
D. Morris,Philadelphia,31,13,18,19,10,43,24,12,10,3,19,8
D. Motiejūnas,Houston,215,196,326,517,105,960,322,186,524,235,229,135
D. Motiejūnas,New Orleans,28,18,39,38,10,71,38,29,71,25,28,13
D. Murray,San Antonio,537,193,260,530,59,1139,165,170,670,175,286,164
D. Musa,Brooklyn,48,53,73,55,19,110,93,49,70,23,43,29
D. Nowitzki,Dallas,1257,2011,2243,3233,800,6528,2078,612,3475,359,778,739
D. Nwaba,Brooklyn,8,18,27,25,12,43,28,19,37,8,8,9
D. Nwaba,Chicago,87,127,196,160,16,309,44,64,212,76,67,52
D. Nwaba,Cleveland,48,55,82,92,24,166,72,45,103,36,23,35
D. Nwaba,LA Lakers,7,14,21,26,1,45,3,15,35,10,5,6
D. Ochefu,Washington,2,0,2,8,0,19,0,13,16,2,3,2
D. Orton,Oklahoma City,3,6,12,5,0,12,0,7,7,7,0,2
D. Orton,Orlando,0,2,2,1,0,2,1,4,1,0,1,0
D. Orton,Philadelphia,15,23,30,21,0,47,0,21,45,16,18,10
D. Pittman,Atlanta,0,0,2,0,0,1,0,1,0,3,0,1
D. Pittman,Memphis,0,0,3,1,0,4,0,3,1,3,0,2
D. Pittman,Miami,5,10,18,22,0,53,0,27,33,19,9,6
D. Powell,Boston,0,1,2,4,0,5,0,3,1,0,2,0
D. Powell,Dallas,338,591,798,908,80,1459,281,335,1090,515,228,120
D. Reed,Indiana,2,0,0,1,1,3,1,4,1,1,1,0
D. Reed,Phoenix,9,5,8,8,9,29,28,16,29,2,7,4
D. Robinson,Miami,137,88,99,69,329,104,768,103,283,14,85,72
D. Robinson,Washington,2,3,6,8,0,13,0,4,5,2,0,2
D. Rose,Chicago,1832,1079,1323,2007,309,4257,992,296,833,244,886,677
D. Rose,Cleveland,26,35,41,52,6,108,24,16,19,10,28,16
D. Rose,Detroit,278,120,138,324,45,606,147,50,94,27,126,90
D. Rose,Minnesota,228,134,156,324,54,637,149,56,108,36,86,93
D. Rose,New York,283,220,252,447,13,917,60,64,180,65,147,153
D. Rudež,Indiana,52,13,19,50,65,91,162,62,37,8,45,29
D. Rudež,Minnesota,10,8,8,8,17,12,49,25,13,5,13,4
D. Rudež,Orlando,19,0,0,9,20,20,63,37,20,6,9,8
D. Russell,Brooklyn,746,223,297,571,288,1190,822,118,376,74,361,229
D. Russell,Golden State,206,111,141,153,120,314,321,33,108,14,101,81
D. Russell,LA Lakers,524,251,333,443,249,981,702,132,380,74,330,202
D. Russell,Minnesota,79,47,53,49,38,101,110,12,52,3,46,19
D. Sabonis,Indiana,652,570,789,1114,38,1982,116,200,1435,517,448,195
D. Sabonis,Oklahoma City,77,34,55,131,45,291,144,74,225,41,79,65
D. Schröder,Atlanta,1598,712,853,1350,298,2859,928,329,697,138,786,429
D. Schröder,Oklahoma City,594,381,460,673,249,1407,701,146,468,55,344,224
D. Sloan,Atlanta,5,0,0,3,0,7,1,5,4,1,2,2
D. Sloan,Brooklyn,236,74,98,101,33,217,87,55,147,15,76,39
D. Sloan,Cleveland,56,23,29,35,8,92,28,27,42,7,24,19
D. Sloan,Indiana,212,69,91,121,48,265,159,82,158,14,75,58
D. Sloan,New Orleans,9,2,4,5,0,12,2,4,1,2,6,1
D. Smith,Dallas,463,184,264,392,144,872,444,97,273,64,283,132
D. Smith,New York,202,66,121,142,35,346,123,53,98,35,103,54
D. Songaila,New Orleans,64,54,66,223,1,440,5,69,154,56,72,45
D. Songaila,Philadelphia,2,2,4,7,0,15,0,9,8,2,4,1
D. Stephens,Memphis,0,0,0,1,0,2,0,1,0,0,1,0
D. Stephens,Milwaukee,0,1,1,2,0,5,0,1,3,1,0,0
D. Stevenson,Atlanta,46,12,23,19,73,44,190,50,92,15,19,25
D. Stevenson,Dallas,81,37,49,40,91,104,250,80,96,21,47,42
D. Stevenson,New Jersey,33,7,13,5,33,18,116,38,71,6,14,22
D. Stevenson,Washington,44,18,25,18,11,41,62,37,58,7,24,10
D. Stockton,Sacramento,1,0,0,0,0,1,1,1,2,0,2,1
D. Stockton,Utah,0,2,2,0,0,0,0,1,0,0,1,0
D. Stone,LA Clippers,0,4,4,3,0,13,0,7,5,1,2,0
D. Summers,Detroit,11,33,50,38,21,110,52,45,36,11,21,20
D. Summers,LA Clippers,1,0,0,1,0,4,0,1,2,0,0,0
D. Summers,New Orleans,10,7,9,23,5,49,16,14,15,8,8,7
D. Theis,Boston,257,229,302,490,80,786,243,204,690,346,157,86
D. Valentine,Chicago,340,47,60,233,252,519,687,156,536,67,166,149
D. Wade,Chicago,220,212,267,356,45,783,143,57,195,61,125,140
D. Wade,Cleveland,165,94,135,182,25,376,74,55,158,42,95,43
D. Wade,Miami,2483,2319,3057,3736,283,7352,946,506,1744,620,1451,941
D. Waiters,Cleveland,435,331,460,668,160,1490,495,153,315,61,303,278
D. Waiters,LA Lakers,19,14,16,28,7,51,34,11,13,2,14,11
D. Waiters,Miami,424,153,235,388,234,856,642,117,312,33,234,164
D. Waiters,Oklahoma City,203,142,208,326,116,773,343,111,242,51,154,192
D. Walton,Detroit,5,0,0,0,1,0,3,3,1,0,1,0
D. Walton,LA Clippers,22,7,9,8,9,15,21,18,13,2,4,5
D. Walton,Miami,15,6,6,1,7,7,17,15,14,2,2,2
D. Wear,Sacramento,1,0,0,0,0,0,0,1,0,1,0,0
D. West,Boston,43,8,9,29,6,59,24,17,22,5,20,11
D. West,Cleveland,170,100,121,155,24,322,70,54,131,23,79,35
D. West,Dallas,106,42,47,82,18,174,54,31,66,9,52,29
D. West,Golden State,260,91,121,320,6,562,16,129,309,94,140,33
D. West,Indiana,718,602,781,1417,14,2927,57,251,1330,436,452,333
D. West,New Orleans,374,532,637,1090,9,2145,36,145,774,310,301,202
D. West,San Antonio,126,53,66,220,2,399,5,72,219,63,67,39
D. White,Boston,3,1,5,8,0,13,0,6,8,2,1,0
D. White,Charlotte,41,59,79,189,1,366,2,59,169,60,36,26
D. White,Oklahoma City,8,14,20,54,0,105,0,34,53,22,10,11
D. White,San Antonio,495,284,348,374,130,724,360,144,403,71,185,119
D. Wilkins,Atlanta,37,31,44,56,2,102,10,45,54,20,18,14
D. Wilkins,Detroit,37,30,45,56,6,135,19,47,64,18,29,15
D. Wilkins,Indiana,9,3,4,9,4,21,18,18,11,5,5,7
D. Wilkins,Minnesota,128,81,102,137,17,304,55,72,170,71,70,54
D. Wilkins,Philadelphia,68,57,80,98,12,194,39,49,49,23,40,28
D. Williams,Brooklyn,1261,561,675,663,305,1455,823,185,496,57,459,285
D. Williams,Cleveland,69,37,50,63,30,110,78,24,76,4,34,16
D. Williams,Dallas,635,213,251,341,156,740,448,102,250,33,240,144
D. Williams,LA Lakers,0,0,0,1,0,2,2,1,1,0,0,0
D. Williams,Miami,14,31,50,45,9,91,45,24,57,15,14,15
D. Williams,Minnesota,70,280,407,387,90,832,297,132,516,151,155,145
D. Williams,New Jersey,536,267,316,278,123,640,363,58,179,28,232,111
D. Williams,New York,68,185,246,187,34,370,130,74,222,43,53,55
D. Williams,Sacramento,89,266,377,280,62,567,202,122,337,92,109,101
D. Williams,Utah,1256,567,688,645,176,1276,493,123,410,77,414,152
D. Wilson,Milwaukee,71,32,58,87,59,171,185,90,231,50,49,45
D. Wright,Dallas,251,80,105,148,48,292,129,76,212,71,78,56
D. Wright,Golden State,304,219,276,350,269,743,701,125,500,127,171,181
D. Wright,Memphis,93,44,61,73,13,147,57,21,71,23,31,22
D. Wright,Miami,80,37,40,115,48,229,128,65,159,43,46,39
D. Wright,Philadelphia,130,94,112,84,114,203,305,70,235,37,60,58
D. Wright,Portland,96,77,98,69,107,168,295,105,231,38,53,70
D. Wright,Toronto,347,190,234,276,93,563,260,153,262,98,138,117
D. Šarić,Minnesota,87,89,104,138,84,275,217,62,241,97,68,56
D. Šarić,Philadelphia,390,354,427,522,274,1089,770,163,802,275,341,207
D. Šarić,Phoenix,123,108,128,172,84,303,235,66,306,100,88,48
E. Barron,Golden State,0,0,0,2,0,4,0,2,0,1,0,0
E. Barron,Milwaukee,4,2,2,17,0,37,0,7,10,12,2,8
E. Barron,Phoenix,5,15,24,18,0,68,1,21,31,22,14,13
E. Barron,Washington,3,2,5,13,0,37,0,10,27,16,10,2
E. Bledsoe,LA Clippers,513,201,262,385,61,846,193,166,304,145,328,123
E. Bledsoe,Milwaukee,1109,573,741,919,308,1678,927,209,752,172,518,263
E. Bledsoe,Phoenix,1260,970,1182,1045,280,2157,818,209,857,161,710,380
E. Boykins,Houston,8,10,10,4,0,10,2,3,3,0,6,1
E. Boykins,Milwaukee,133,59,71,126,25,273,68,50,40,14,51,34
E. Boykins,Washington,164,66,76,147,17,330,56,61,56,16,69,55
E. Brand,Atlanta,74,65,102,187,0,365,2,92,291,114,65,23
E. Brand,Dallas,67,66,93,224,0,465,1,68,291,126,54,50
E. Brand,Philadelphia,293,424,564,1087,0,2200,2,203,937,513,281,204
E. Clark,Brooklyn,1,0,0,4,1,8,8,3,8,1,2,3
E. Clark,Cleveland,16,14,24,50,40,124,116,45,107,20,30,28
E. Clark,LA Lakers,56,48,70,125,26,263,79,50,223,74,59,43
E. Clark,New York,2,8,10,6,1,15,6,7,14,2,1,4
E. Clark,Orlando,14,26,43,75,0,183,5,58,97,50,39,23
E. Clark,Phoenix,23,25,38,62,2,168,5,50,51,17,24,27
E. Curry,Dallas,0,1,4,4,0,8,0,2,2,2,3,2
E. Curry,Miami,1,2,2,6,0,13,0,9,3,3,6,1
E. Curry,New York,0,10,17,8,0,21,0,7,9,4,13,2
E. Dampier,Atlanta,4,0,0,1,0,7,0,9,12,8,3,4
E. Dampier,Dallas,26,55,93,121,1,192,3,48,246,114,55,27
E. Dampier,Miami,20,18,35,46,0,76,1,46,108,49,30,9
E. Davis,Brooklyn,60,91,149,176,0,285,2,76,452,207,62,29
E. Davis,LA Lakers,88,82,163,258,0,420,0,71,327,205,51,49
E. Davis,Memphis,30,69,130,197,0,364,0,80,224,113,44,44
E. Davis,Portland,146,236,390,433,0,738,1,196,876,480,158,85
E. Davis,Toronto,128,182,294,477,0,875,1,154,675,335,123,103
E. Davis,Utah,12,7,14,22,0,46,0,28,70,35,13,7
E. Dawson,San Antonio,0,1,2,7,0,12,0,4,5,5,3,3
E. Fournier,Denver,115,91,125,144,86,311,220,95,162,34,110,79
E. Fournier,Orlando,1167,894,1106,1456,797,2900,2135,395,977,181,702,535
E. Gordon,Houston,541,544,673,626,764,1244,2145,247,512,79,400,399
E. Gordon,LA Clippers,385,464,588,504,202,1005,563,107,229,65,263,162
E. Gordon,New Orleans,645,513,621,654,378,1485,971,197,400,70,418,315
E. Green,Denver,23,8,9,34,9,77,36,34,18,3,10,20
E. Green,Utah,2,0,0,4,1,8,4,5,2,3,0,4
E. Harris,LA Lakers,1,0,0,0,0,1,0,2,0,1,0,0
E. House,Boston,48,28,30,65,64,155,167,50,62,7,27,47
E. House,Miami,58,20,22,52,60,129,158,51,80,9,26,36
E. House,New York,36,10,10,29,15,71,60,17,34,6,19,12
E. Jeter,Sacramento,161,31,34,100,6,227,29,59,60,9,51,33
E. Kanter,Boston,63,75,109,219,2,382,8,68,292,182,60,54
E. Kanter,New York,189,261,313,666,7,1156,24,115,797,444,201,103
E. Kanter,Oklahoma City,119,445,561,857,12,1491,52,159,754,487,254,166
E. Kanter,Portland,24,37,48,80,2,138,9,18,81,55,27,19
E. Kanter,Utah,129,372,499,958,14,1903,44,246,881,572,363,210
E. Maynor,Oklahoma City,458,82,109,182,69,459,191,166,178,40,160,77
E. Maynor,Philadelphia,12,4,8,7,4,17,12,8,13,2,12,3
E. Maynor,Portland,69,18,27,38,12,86,32,18,18,4,30,12
E. Maynor,Utah,81,25,33,47,5,109,24,25,28,10,28,14
E. Maynor,Washington,40,2,3,13,8,47,25,23,17,7,17,15
E. McCree,Utah,0,0,0,0,0,1,1,2,1,0,1,0
E. Mika,Sacramento,0,2,2,2,0,3,0,1,5,2,0,0
E. Millsap,Utah,65,60,90,52,28,152,92,58,127,28,69,52
E. Moore,Boston,24,4,4,20,11,51,31,25,12,4,11,9
E. Moore,Chicago,123,32,53,180,57,363,130,100,140,29,63,58
E. Moore,New Orleans,503,166,226,770,327,1518,815,254,476,152,255,298
E. Moore,Orlando,284,76,101,274,113,616,327,138,201,69,141,125
E. Moreland,Detroit,66,10,26,50,0,96,0,59,166,70,36,13
E. Moreland,Phoenix,0,0,0,0,0,0,0,1,3,0,0,0
E. Moreland,Sacramento,0,0,2,3,0,4,0,7,6,1,0,0
E. Moreland,Toronto,4,0,0,2,1,5,1,3,10,3,3,0
E. Mudiay,Denver,659,307,418,453,154,1176,471,155,397,73,384,232
E. Mudiay,New York,297,168,222,319,75,660,241,76,197,42,172,104
E. Mudiay,Utah,118,64,85,124,32,251,90,57,113,19,76,32
E. Murphy,Chicago,2,0,0,3,0,10,3,12,6,2,2,3
E. Nájera,Charlotte,30,8,15,30,19,68,60,47,63,24,17,17
E. Nájera,Dallas,12,6,9,19,11,36,34,25,43,20,6,12
E. Nájera,New Jersey,15,6,12,17,3,36,17,13,26,12,12,6
E. Okafor,New Orleans,119,332,591,759,0,1395,1,190,1093,556,251,114
E. Okafor,Washington,86,97,170,301,0,621,0,71,452,185,96,57
E. Okobo,Phoenix,230,82,113,111,56,248,186,100,154,27,97,62
E. Paschall,Golden State,127,164,211,281,37,511,129,60,193,82,94,63
E. Payton,New Orleans,280,50,67,132,29,278,89,38,153,48,99,59
E. Payton,New York,323,49,86,179,14,371,69,45,160,52,96,72
E. Payton,Orlando,1626,406,666,1093,98,2270,320,260,781,298,624,341
E. Payton,Phoenix,118,37,54,86,5,184,25,19,83,17,54,22
E. Sumner,Indiana,64,23,43,61,18,122,76,52,53,19,32,21
E. Tavares,Atlanta,3,3,10,12,0,20,0,11,15,7,5,2
E. Terry,Miami,1,1,2,0,0,1,0,1,0,1,0,0
E. Terry,Phoenix,1,1,2,4,0,6,0,2,4,2,2,0
E. Thomas,Atlanta,1,5,7,6,0,14,0,8,13,3,1,2
E. Thomas,Oklahoma City,1,13,22,30,0,66,0,21,45,17,17,11
E. Turner,Atlanta,38,11,13,25,0,62,5,19,30,8,26,6
E. Turner,Boston,716,233,294,542,48,1158,186,149,654,83,326,187
E. Turner,Indiana,37,18,27,51,7,124,17,20,49,7,23,19
E. Turner,Philadelphia,786,451,585,1039,110,2341,354,250,1215,156,472,298
E. Turner,Portland,595,222,279,554,72,1161,270,199,649,95,285,181
E. Ubiles,Washington,1,3,3,4,1,13,5,4,8,2,1,3
E. Udoh,Golden State,64,83,118,169,0,380,0,88,182,120,76,40
E. Udoh,LA Clippers,8,6,7,9,0,21,0,25,18,6,6,0
E. Udoh,Milwaukee,83,119,163,176,0,423,2,117,235,179,82,65
E. Udoh,Utah,67,52,71,95,0,168,1,92,117,83,30,11
E. Watson,Indiana,360,116,156,143,48,296,169,72,173,47,158,47
E. Watson,Portland,23,4,4,1,2,2,5,17,6,5,16,1
E. Watson,Utah,638,98,146,150,45,363,163,166,254,96,256,73
E. Williams,Memphis,4,3,4,1,1,6,4,5,3,1,1,2
E. Williams,New Orleans,8,0,2,5,3,13,11,7,5,0,0,1
E. Williams,Philadelphia,54,70,95,74,30,167,106,57,87,25,59,35
E. Williams,Portland,6,6,18,29,8,47,27,21,12,7,5,6
E. Williams,Utah,4,1,2,1,5,6,7,5,3,0,4,2
E. İlyasova,Atlanta,77,114,142,164,87,320,235,65,264,103,68,57
E. İlyasova,Detroit,55,79,109,138,78,293,215,52,183,99,59,75
E. İlyasova,Milwaukee,507,710,900,1391,424,2864,1169,474,2003,857,421,484
E. İlyasova,Oklahoma City,1,0,0,3,3,4,12,3,14,2,4,1
E. İlyasova,Orlando,11,32,45,34,15,88,35,18,62,38,8,18
E. İlyasova,Philadelphia,122,124,164,222,123,437,347,69,309,100,99,84
F. Aldemir,Philadelphia,19,9,21,31,0,54,3,33,78,64,13,8
F. Elson,Milwaukee,2,2,2,4,0,13,0,10,8,5,1,3
F. Elson,Philadelphia,1,0,0,1,0,3,0,4,1,0,1,0
F. Elson,Utah,33,25,30,50,0,106,0,56,75,34,31,18
F. Ezeli,Golden State,57,137,248,242,0,473,0,147,381,257,127,37
F. García,Houston,72,15,23,50,83,105,246,68,106,22,44,56
F. García,Sacramento,161,101,115,233,157,490,448,149,271,45,100,106
F. Jackson,New Orleans,130,109,145,228,100,465,313,117,170,47,97,111
F. Kaminsky,Charlotte,404,398,522,578,302,1242,864,255,820,195,221,231
F. Kaminsky,Phoenix,75,61,90,97,41,183,124,39,141,35,37,28
F. Korkmaz,Philadelphia,135,115,151,149,192,311,514,129,252,36,88,96
F. Mason,Milwaukee,30,10,17,17,6,30,21,9,14,5,11,6
F. Mason,Sacramento,225,126,162,161,40,377,131,82,129,34,92,66
F. Melo,Boston,0,1,4,2,0,4,0,3,1,0,0,0
F. Ntilikina,New York,518,117,149,265,121,669,392,172,301,66,248,135
F. Oberto,Portland,0,1,2,3,0,5,0,5,4,3,3,0
F. Oberto,Washington,40,11,15,26,0,44,0,41,50,28,25,5
F. VanVleet,Toronto,968,368,436,476,404,1102,1029,222,549,71,298,242
G. Allen,Memphis,53,38,44,61,57,112,142,39,81,9,35,22
G. Allen,Utah,18,29,41,16,22,44,74,31,10,1,18,12
G. Antetokounmpo,Milwaukee,2171,2444,3402,3474,300,6045,1061,503,3685,876,1389,738
G. Arenas,Memphis,6,0,0,4,0,10,6,3,7,1,4,2
G. Arenas,Orlando,155,58,78,84,43,213,166,46,99,16,100,51
G. Arenas,Washington,346,205,268,273,110,620,326,53,180,23,188,134
G. Ayón,Atlanta,28,8,20,52,0,102,0,26,83,42,29,10
G. Ayón,Milwaukee,6,1,6,11,0,16,0,6,12,6,0,4
G. Ayón,New Orleans,58,30,49,118,0,213,1,39,133,67,41,25
G. Ayón,Orlando,59,19,38,67,0,125,0,42,100,40,38,12
G. Bitadze,Indiana,23,24,33,62,8,108,42,49,81,25,28,7
G. Clark,Houston,29,13,14,13,55,20,174,62,116,31,8,31
G. Clark,Orlando,12,7,8,10,32,15,92,28,68,30,10,9
G. Clavell,Dallas,3,2,2,0,6,3,15,5,6,1,2,0
G. Davis,Boston,109,252,353,431,1,948,15,116,381,189,125,89
G. Davis,LA Clippers,40,62,96,132,0,275,4,83,136,50,45,23
G. Davis,Orlando,175,235,341,588,5,1346,23,128,546,207,180,106
G. Dieng,Memphis,15,30,40,35,8,57,32,18,83,19,16,4
G. Dieng,Minnesota,624,732,929,1268,96,2440,285,460,1965,845,538,258
G. Dragić,Houston,270,107,140,162,61,319,161,67,105,36,128,57
G. Dragić,Miami,1733,922,1185,1514,500,3019,1376,327,976,225,806,562
G. Dragić,Phoenix,1498,714,978,1189,356,2268,984,313,638,225,708,381
G. Forbes,Denver,39,50,78,90,18,188,50,56,73,28,39,22
G. Forbes,Toronto,40,52,68,58,16,132,52,36,60,24,34,30
G. Green,Boston,29,28,33,51,37,114,99,43,62,16,22,17
G. Green,Houston,60,91,111,121,238,232,667,104,241,42,75,93
G. Green,Indiana,46,50,62,81,52,211,167,55,105,30,46,45
G. Green,Miami,53,62,77,130,74,297,236,62,129,23,46,65
G. Green,New Jersey,13,30,41,61,22,108,59,19,53,11,29,19
G. Green,Phoenix,198,245,289,377,300,784,810,141,346,72,229,217
G. Harris,Denver,746,526,654,1065,530,2068,1460,350,705,219,451,455
G. Hayward,Boston,458,268,318,476,165,879,468,125,562,108,204,142
G. Hayward,Utah,1585,1658,2013,1806,606,3816,1671,460,1592,343,958,735
G. Henderson,Charlotte,683,818,1033,1372,119,2983,382,337,919,203,428,341
G. Henderson,Philadelphia,104,123,149,163,57,354,159,66,144,30,60,51
G. Henderson,Portland,69,101,131,166,47,356,129,67,174,29,61,56
G. Hill,Cleveland,99,37,48,96,39,185,102,35,55,32,46,34
G. Hill,Indiana,1061,507,641,819,425,1654,1115,279,867,183,386,343
G. Hill,LA Clippers,26,14,24,33,2,83,9,25,41,5,25,17
G. Hill,Milwaukee,297,133,158,198,120,357,310,111,227,80,99,75
G. Hill,Phoenix,458,456,563,784,79,1617,208,192,713,171,282,161
G. Hill,Sacramento,119,77,98,95,58,198,127,43,96,22,61,36
G. Hill,San Antonio,386,362,445,454,143,914,368,143,320,65,185,135
G. Hill,Utah,193,147,184,190,88,364,225,47,142,22,85,62
G. Jerrett,Oklahoma City,1,0,0,2,1,4,13,4,3,1,2,0
G. King,Phoenix,0,0,0,0,0,0,0,1,1,0,0,0
G. Mathews,Washington,10,30,33,5,19,10,46,17,18,6,8,2
G. Mekel,Dallas,63,8,12,25,5,66,20,28,22,5,31,11
G. Mekel,New Orleans,13,0,0,3,0,17,3,4,1,0,2,3
G. Monroe,Boston,35,36,46,77,0,154,0,22,78,44,36,21
G. Monroe,Detroit,741,978,1418,1892,0,3754,2,335,2018,1067,715,523
G. Monroe,Milwaukee,344,385,517,836,0,1589,4,153,817,369,254,184
G. Monroe,Phoenix,50,31,46,97,0,155,0,20,111,49,41,20
G. Monroe,Toronto,16,35,61,74,0,157,4,37,96,60,31,23
G. Neal,Atlanta,1,4,4,0,0,5,2,2,1,0,0,2
G. Neal,Charlotte,100,112,127,136,60,337,178,57,104,16,74,67
G. Neal,Milwaukee,46,42,51,68,40,166,111,30,42,8,39,33
G. Neal,Minnesota,20,25,27,34,11,74,31,11,35,0,10,12
G. Neal,San Antonio,278,152,190,356,254,796,656,175,352,43,170,160
G. Neal,Washington,47,41,48,110,41,225,99,40,72,11,30,26
G. Niang,Indiana,5,2,2,8,1,24,12,20,15,2,5,7
G. Niang,Utah,75,31,38,90,136,165,337,125,183,28,49,62
G. Oden,Miami,1,11,21,27,0,47,0,22,29,20,11,5
G. Oden,Portland,19,49,64,92,0,152,0,21,114,64,39,22
G. Papagiannis,Sacramento,18,8,8,49,0,103,1,26,64,27,17,10
G. Payton,LA Lakers,4,0,0,5,0,11,3,5,2,4,0,1
G. Payton,Milwaukee,9,2,3,11,2,21,12,12,13,4,3,3
G. Payton,Washington,52,4,8,39,14,76,48,30,55,27,21,16
G. Rice,Washington,9,9,13,8,6,28,24,15,18,6,11,9
G. Robinson,Detroit,18,29,36,52,16,106,57,40,44,16,18,20
G. Robinson,Golden State,85,56,66,176,68,337,170,48,160,66,50,47
G. Robinson,Indiana,81,84,119,172,66,354,176,123,260,76,54,64
G. Robinson,Minnesota,3,12,16,7,1,18,6,20,10,4,3,6
G. Robinson,Philadelphia,13,12,16,38,10,66,31,18,34,19,7,11
G. Siler,Phoenix,2,8,16,11,0,19,0,13,6,13,7,2
G. Smith,Dallas,9,19,37,30,0,48,0,33,53,26,11,6
G. Smith,Houston,18,66,110,160,0,254,1,75,201,109,40,26
G. Smith,Minnesota,5,7,17,15,0,29,0,14,28,10,5,2
G. Stiemsma,Boston,19,18,28,42,0,85,0,39,84,37,23,8
G. Stiemsma,Minnesota,23,49,65,105,0,231,0,67,152,53,54,31
G. Stiemsma,New Orleans,33,15,26,58,0,95,0,50,133,66,40,7
G. Stiemsma,Toronto,3,2,4,6,0,7,0,9,6,9,6,0
G. Temple,Brooklyn,164,74,91,103,136,214,422,66,200,29,68,70
G. Temple,Charlotte,4,0,0,0,1,2,5,4,5,0,3,2
G. Temple,Houston,7,16,24,10,3,17,12,8,12,2,14,6
G. Temple,LA Clippers,32,15,21,21,12,44,43,22,46,8,13,8
G. Temple,Memphis,69,54,71,92,74,177,210,49,134,18,54,40
G. Temple,Milwaukee,6,0,4,4,3,11,10,7,6,0,2,6
G. Temple,Sacramento,283,113,145,209,166,455,437,130,272,55,156,94
G. Temple,San Antonio,4,4,7,4,2,19,5,8,1,1,3,5
G. Temple,Washington,350,168,232,248,137,565,411,203,347,101,181,122
G. Trent,Portland,66,44,57,96,127,211,309,76,90,31,30,57
G. Vincent,Miami,6,0,0,2,6,10,27,6,5,0,1,4
G. Vásquez,Brooklyn,5,2,3,1,1,5,3,3,2,0,1,2
G. Vásquez,Memphis,138,32,39,62,20,130,76,61,57,12,61,21
G. Vásquez,Milwaukee,74,19,22,25,14,59,55,17,36,4,31,19
G. Vásquez,New Orleans,919,177,220,464,108,1003,317,124,393,57,337,145
G. Vásquez,Sacramento,95,27,29,49,16,100,50,18,29,5,26,15
G. Vásquez,Toronto,465,96,119,255,182,578,506,127,267,37,198,154
G. Wallace,Boston,150,53,114,110,20,197,67,85,215,53,111,37
G. Wallace,Brooklyn,166,119,183,130,46,283,157,62,243,67,104,83
G. Wallace,Charlotte,266,599,788,584,87,1203,240,117,904,210,259,145
G. Wallace,New Jersey,28,34,39,35,12,87,34,9,51,16,16,23
G. Wallace,Portland,153,169,221,257,44,472,156,59,315,95,120,75
G. Williams,Boston,74,46,64,68,34,124,113,82,138,66,54,25
G. Yabusele,Boston,27,23,33,31,16,56,52,57,51,34,24,16
H. Armstrong,Atlanta,4,2,6,3,1,6,1,7,9,2,3,0
H. Armstrong,Golden State,1,2,8,2,0,4,0,7,11,7,2,0
H. Armstrong,Houston,2,0,2,4,0,15,1,7,1,4,3,1
H. Armstrong,New Orleans,16,13,28,19,0,50,0,18,44,17,13,8
H. Armstrong,Sacramento,2,2,2,4,0,12,0,6,9,5,4,3
H. Armstrong,Washington,10,14,23,30,1,61,3,39,75,39,25,8
H. Barnes,Dallas,320,587,703,1072,302,2269,822,197,846,206,275,283
H. Barnes,Golden State,394,443,598,774,252,1636,671,275,983,277,276,278
H. Barnes,Sacramento,204,263,326,337,147,675,380,95,390,96,115,122
H. Diallo,Oklahoma City,54,78,129,190,21,386,86,96,186,84,76,74
H. Ellenson,Brooklyn,1,0,0,1,0,3,4,4,4,2,0,3
H. Ellenson,Detroit,21,14,17,28,18,75,56,47,67,11,19,10
H. Ellenson,New York,13,8,11,11,9,32,25,12,34,4,7,7
H. Giles,Sacramento,145,96,140,314,0,591,8,103,301,109,117,53
H. Haddadi,Memphis,22,29,39,60,0,138,5,80,117,66,40,30
H. Haddadi,Phoenix,7,11,23,19,0,45,0,14,42,31,22,10
H. Highsmith,Philadelphia,2,0,0,0,1,0,2,2,1,0,0,1
H. N'Diaye,Sacramento,3,0,1,3,0,9,0,10,13,5,3,2
H. N'Diaye,Washington,0,6,12,4,0,6,0,10,5,1,3,0
H. Sims,Brooklyn,3,11,14,12,0,30,0,7,18,11,5,4
H. Sims,Cleveland,5,8,14,18,0,45,0,18,34,22,8,3
H. Sims,New Orleans,0,0,0,2,0,3,0,1,0,2,1,0
H. Sims,Philadelphia,109,134,175,283,4,582,20,84,285,167,115,66
H. Thabeet,Houston,0,0,0,3,0,4,0,5,6,1,0,0
H. Thabeet,Memphis,11,62,112,83,0,153,0,91,179,93,51,24
H. Thabeet,Oklahoma City,8,32,56,71,0,116,0,74,138,71,51,12
H. Thabeet,Portland,0,4,4,1,0,3,0,3,2,1,1,1
H. Thompson,New Orleans,9,6,9,5,6,17,24,9,24,4,2,4
H. Thompson,Philadelphia,254,171,245,349,304,763,801,234,574,179,196,193
