,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,S. O'Neal,Boston,26,73,131,131,0,198,0,36,129,48,55,19
1,K. Garnett,Boston,156,172,200,395,0,753,4,65,508,77,107,81
2,P. Pierce,Boston,245,344,400,366,100,670,274,74,356,30,152,81
3,R. Allen,Boston,200,135,152,293,161,568,358,74,210,47,106,85
4,R. Rondo,Boston,703,61,111,281,10,565,38,62,190,81,216,44
5,G. Davis,Boston,77,176,239,325,1,707,12,70,297,95,81,67
6,J. O'Neal,Boston,10,22,28,36,0,77,1,18,46,19,19,9
7,M. Daniels,Boston,64,39,57,110,4,211,21,49,89,24,38,20
8,N. Robinson,Boston,105,33,39,83,63,169,192,55,74,15,66,33
9,C. Bosh,Miami,136,354,432,476,6,958,25,71,460,129,122,96
10,D. Wade,Miami,321,462,617,590,62,1115,197,71,345,119,221,162
11,J. Anthony,Miami,21,42,66,43,0,82,0,65,138,89,33,10
12,L. James,Miami,506,453,592,607,87,1107,262,73,476,73,258,153
13,C. Arroyo,Miami,100,24,28,81,28,174,64,49,67,13,43,24
14,J. Jones,Miami,38,41,48,21,109,50,264,71,121,20,17,34
15,U. Haslem,Miami,6,16,20,44,0,86,0,13,77,29,14,7
16,E. House,Miami,58,20,22,52,60,129,158,51,80,9,26,36
17,Z. Ilgauskas,Miami,20,30,38,144,0,284,0,65,171,97,48,34
18,B. Roy,Portland,110,109,128,160,36,377,107,41,81,21,51,68
19,N. Batum,Portland,116,123,144,219,109,418,313,74,238,101,78,103
20,A. Miller,Portland,523,184,218,365,4,762,34,74,192,91,184,85
21,L. Aldridge,Portland,158,338,431,647,4,1280,23,75,389,259,151,126
22,M. Camby,Portland,112,43,70,112,0,282,1,55,402,173,61,53
23,R. Fernández,Portland,173,98,114,90,109,200,332,71,130,34,81,65
24,D. Cunningham,Portland,30,32,45,126,0,287,4,56,116,73,33,44
25,W. Matthews,Portland,153,228,271,266,141,559,350,75,194,44,129,114
26,F. Oberto,Portland,0,1,2,3,0,5,0,5,4,3,3,0
27,A. Johnson,Portland,41,11,19,35,5,77,11,30,22,11,33,12
28,H. Türkoğlu,Phoenix,58,25,35,44,41,96,97,25,80,20,31,28
29,R. Lopez,Phoenix,7,68,92,170,0,339,0,60,127,79,45,35
30,J. Richardson,Phoenix,36,54,71,121,62,241,148,25,78,33,30,44
31,G. Hill,Phoenix,176,189,230,318,37,646,94,72,240,74,118,55
32,S. Nash,Phoenix,795,161,178,305,80,577,201,70,210,38,252,55
33,C. Frye,Phoenix,82,79,97,169,152,351,390,69,405,61,68,76
34,H. Warrick,Phoenix,57,189,264,203,1,394,6,72,186,81,72,41
35,J. Dudley,Phoenix,92,144,189,165,91,314,228,74,177,90,69,52
36,G. Dragić,Phoenix,149,53,88,105,28,215,101,48,62,24,96,35
37,J. Childress,Phoenix,38,29,54,99,1,165,13,45,73,61,39,24
38,L. Odom,LA Lakers,222,155,229,370,56,646,144,74,483,165,119,86
39,K. Bryant,LA Lakers,355,403,488,566,101,1154,317,74,310,74,217,186
40,P. Gasol,LA Lakers,253,324,392,538,1,1021,3,74,506,250,128,109
41,D. Fisher,LA Lakers,199,70,86,125,55,327,139,74,126,10,63,56
42,M. World,LA Lakers,0,0,0,0,0,0,0,74,146,88,79,0
43,D. Caracter,LA Lakers,7,17,23,32,0,65,0,34,24,19,19,6
44,T. Ratliff,LA Lakers,3,0,2,1,0,6,0,9,7,6,3,2
45,S. Blake,LA Lakers,157,23,27,33,70,106,183,73,129,17,67,35
46,S. Brown,LA Lakers,87,85,93,182,69,384,199,74,113,33,70,70
47,M. Barnes,LA Lakers,69,55,68,87,33,157,102,48,148,65,53,33
48,L. Scola,Houston,170,206,280,538,0,1071,3,70,429,137,129,117
49,A. Brooks,Houston,129,70,75,86,48,218,169,34,40,11,55,51
50,Y. Ming,Houston,4,15,16,18,0,37,0,5,20,7,7,3
51,K. Martin,Houston,177,503,562,334,159,723,408,73,206,27,158,140
52,S. Battier,Houston,153,49,76,98,88,183,225,59,223,58,63,51
53,B. Miller,Houston,130,70,84,82,34,170,95,56,155,41,46,37
54,C. Lee,Houston,81,71,94,167,63,361,148,74,136,45,56,65
55,C. Budinger,Houston,107,102,120,160,81,331,242,71,203,47,59,69
56,C. Hayes,Houston,174,89,134,212,0,401,1,66,327,194,76,48
