,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,D. Rose,Cleveland,26,35,41,52,6,108,24,16,19,10,28,16
1,K. Love,Cleveland,94,201,228,189,118,377,295,53,402,95,83,56
2,D. Wade,Cleveland,163,94,134,175,23,367,70,46,142,39,92,43
3,J. Crowder,Cleveland,58,78,92,95,62,187,189,53,132,41,42,36
4,L. James,Cleveland,691,349,475,669,135,1097,374,76,567,90,320,138
5,J. Smith,Cleveland,133,39,56,87,134,193,361,74,190,28,74,72
6,T. Thompson,Cleveland,28,40,74,122,0,214,0,46,208,117,34,23
7,I. Shumpert,Cleveland,17,11,15,15,7,32,26,14,34,7,17,6
8,J. Green,Cleveland,93,184,214,222,44,421,153,72,176,56,68,54
9,A. Horford,Boston,327,73,98,256,93,495,215,68,407,93,129,52
10,K. Irving,Boston,306,214,242,368,166,680,407,60,194,33,140,86
11,G. Hayward,Boston,0,0,0,1,0,1,1,1,1,0,0,0
12,J. Brown,Boston,106,135,209,230,106,452,279,65,269,65,111,91
13,J. Tatum,Boston,119,199,241,278,99,561,228,76,341,47,109,84
14,M. Smart,Boston,259,91,126,114,75,266,249,54,145,44,129,68
15,A. Baynes,Boston,84,57,76,185,2,380,14,75,284,112,74,38
16,T. Rozier,Boston,210,112,145,157,149,379,383,76,289,60,71,91
17,S. Ojeleye,Boston,19,23,39,17,34,49,112,61,102,33,21,22
18,S. Larkin,Boston,76,30,33,47,29,119,75,48,64,12,29,22
19,D. Green,Golden State,467,122,157,192,70,344,233,64,430,74,177,59
20,K. Durant,Golden State,332,317,358,414,160,732,373,62,389,32,192,115
21,Z. Pachulia,Golden State,105,69,85,144,0,253,1,64,222,85,69,29
22,K. Thompson,Golden State,176,77,92,311,209,590,473,67,228,27,117,97
23,S. Curry,Golden State,309,260,282,216,212,363,501,51,225,36,153,82
24,P. McCaw,Golden State,81,26,34,73,19,146,80,54,66,17,41,27
25,J. Bell,Golden State,96,29,42,105,0,163,3,49,133,56,45,9
26,N. Young,Golden State,33,49,58,75,115,152,303,73,88,18,39,53
27,O. Casspi,Golden State,51,50,69,110,10,185,22,52,170,30,37,19
28,S. Livingston,Golden State,132,44,55,162,0,316,4,67,91,32,55,34
29,D. West,Golden State,125,56,74,203,3,346,8,67,164,57,76,16
30,K. Looney,Golden State,39,41,74,92,1,157,4,58,118,74,29,23
31,J. Harden,Houston,587,561,655,361,250,680,687,67,326,34,288,146
32,C. Capela,Houston,67,133,239,415,0,635,1,69,525,228,101,67
33,C. Paul,Houston,431,184,201,205,133,392,347,54,265,35,122,73
34,T. Ariza,Houston,103,70,81,90,166,176,440,63,252,32,52,65
35,R. Anderson,Houston,60,70,90,76,131,140,338,64,234,93,43,37
36,E. Gordon,Houston,148,190,234,191,212,346,586,66,141,23,128,112
37,P. Tucker,Houston,68,43,60,54,105,125,278,76,330,86,68,45
38,L. Mbah,Houston,0,0,0,0,0,0,0,56,155,20,66,0
39,T. Harris,Detroit,94,110,127,207,113,433,276,48,208,36,51,75
40,A. Bradley,Detroit,83,58,77,159,74,376,194,40,75,19,93,75
41,S. Johnson,Detroit,93,101,127,126,58,288,209,63,200,29,68,53
42,A. Drummond,Detroit,227,230,374,442,0,831,8,74,805,381,192,108
43,R. Jackson,Detroit,199,81,99,166,48,340,151,39,81,27,89,60
44,L. Galloway,Detroit,53,26,33,47,68,107,197,54,71,12,17,30
45,J. Leuer,Detroit,5,13,15,15,0,33,3,8,25,7,8,2
46,I. Smith,Detroit,328,80,114,330,25,665,79,76,185,27,100,65
47,E. Moreland,Detroit,66,10,26,50,0,96,0,59,166,70,36,13
48,H. Ellenson,Detroit,16,11,14,22,12,60,38,30,48,9,13,7
49,K. Walker,Charlotte,422,328,383,343,226,738,578,75,210,31,167,164
50,D. Howard,Charlotte,98,313,548,479,1,857,7,76,701,238,199,72
51,J. Lamb,Charlotte,177,171,199,271,88,546,242,75,266,48,88,88
52,D. Bacon,Charlotte,38,20,25,61,11,150,43,48,120,4,22,24
53,M. Williams,Charlotte,84,94,115,123,110,238,279,73,278,70,63,75
54,F. Kaminsky,Charlotte,118,142,179,187,96,413,249,74,226,44,61,77
55,C. Zeller,Charlotte,31,61,85,83,2,151,3,33,110,65,33,12
56,M. Monk,Charlotte,71,21,26,53,64,153,197,54,54,8,36,21
57,J. Stone,Charlotte,13,1,2,0,2,0,5,13,20,0,4,0
58,T. Graham,Charlotte,59,41,59,56,40,124,97,61,79,42,27,38
59,D. Collison,Indiana,341,113,127,205,85,398,190,63,129,35,81,57
60,V. Oladipo,Indiana,290,277,342,446,150,851,412,70,324,45,206,140
61,T. Young,Indiana,144,50,84,343,58,642,178,76,313,166,100,86
62,M. Turner,Indiana,84,153,198,235,53,448,143,59,307,89,88,53
63,B. Bogdanović,Indiana,115,159,183,234,143,436,361,75,222,29,99,80
64,L. Stephenson,Indiana,214,76,112,224,63,448,208,76,322,56,127,75
65,C. Joseph,Indiana,240,66,89,176,62,383,176,76,216,38,79,76
66,D. Wilkins,Indiana,9,3,4,9,4,21,18,18,11,5,5,7
67,D. Sabonis,Indiana,141,152,207,298,12,561,33,68,381,153,129,58
68,T. Leaf,Indiana,8,8,12,39,18,82,39,48,51,26,10,22
69,R. Hollis-Jefferson,Brooklyn,151,236,302,313,13,637,51,62,326,97,108,73
70,D. Carroll,Brooklyn,144,184,240,179,140,386,381,71,370,102,98,81
71,J. Lin,Brooklyn,4,7,7,4,1,10,2,1,0,0,3,2
72,D. Russell,Brooklyn,213,95,127,170,74,362,228,42,139,28,125,71
73,T. Mozgov,Brooklyn,8,19,25,41,4,67,18,28,59,28,31,4
74,Q. Acy,Brooklyn,52,48,58,25,89,67,261,64,201,39,58,35
75,T. Booker,Brooklyn,38,24,43,74,3,138,12,18,81,38,30,15
76,A. Crabbe,Brooklyn,105,87,105,125,178,279,486,70,273,26,74,104
77,C. LeVert,Brooklyn,273,128,178,221,79,460,226,66,197,53,142,83
78,S. Dinwiddie,Brooklyn,495,201,247,176,131,392,402,75,201,41,118,100
79,T. Ross,Orlando,35,26,34,44,28,92,85,22,60,10,25,18
80,N. Vučević,Orlando,171,66,81,314,64,585,198,52,383,95,106,55
81,E. Fournier,Orlando,165,143,166,241,127,467,335,57,156,23,95,76
82,E. Payton,Orlando,275,70,112,213,25,391,67,44,127,47,114,45
83,A. Gordon,Orlando,124,149,212,240,105,480,306,52,348,86,94,83
84,J. Simmons,Orlando,171,183,238,284,70,556,204,69,178,61,146,86
85,D. Augustin,Orlando,263,150,173,110,105,232,250,68,120,26,110,50
86,J. Isaac,Orlando,17,15,21,37,13,94,40,26,79,16,26,8
87,B. Biyombo,Orlando,58,94,143,160,0,309,0,75,298,129,79,35
88,K. Olynyk,Miami,194,126,165,199,98,332,260,71,319,83,139,56
89,H. Whiteside,Miami,49,122,174,282,2,518,2,49,412,154,91,48
90,G. Dragić,Miami,347,208,259,360,107,749,292,72,238,54,159,130
91,D. Waiters,Miami,113,51,68,111,52,240,170,30,69,8,70,38
92,J. Richardson,Miami,217,109,130,256,123,512,324,76,198,66,134,82
93,T. Johnson,Miami,152,96,118,174,114,353,308,67,197,29,74,68
94,J. Johnson,Miami,266,104,151,236,56,399,178,69,284,59,134,50
95,J. Winslow,Miami,135,58,90,137,48,317,119,63,285,59,69,53
96,B. Adebayo,Miami,98,121,171,166,0,316,7,64,248,112,62,31
97,W. Ellington,Miami,77,50,58,52,210,113,540,72,184,22,52,66
98,B. Beal,Washington,346,239,299,452,187,888,494,76,276,57,203,142
99,J. Wall,Washington,357,158,219,203,55,465,154,38,112,21,138,72
100,O. Porter,Washington,151,102,121,288,129,542,294,72,372,95,68,90
101,M. Gortat,Washington,142,105,157,271,0,522,0,76,413,168,92,48
102,J. Smith,Washington,14,17,19,36,4,75,29,29,31,17,15,11
103,K. Oubre,Washington,90,177,212,185,117,392,339,75,287,57,79,107
104,M. Scott,Washington,70,42,63,190,60,325,146,70,180,41,74,53
105,J. Meeks,Washington,67,90,103,81,63,174,194,71,102,15,35,56
106,I. Mahinmi,Washington,53,86,122,135,0,234,2,72,163,132,94,22
107,T. Frazier,Washington,184,23,30,48,16,107,54,54,89,18,55,23
108,B. Simmons,Philadelphia,597,177,314,495,0,909,11,74,461,135,255,125
109,J. Redick,Philadelphia,192,156,175,185,170,371,416,64,156,9,95,103
110,J. Embiid,Philadelphia,199,359,467,444,66,839,214,63,546,142,233,121
111,R. Covington,Philadelphia,140,105,123,128,189,259,504,73,335,51,121,112
112,J. Bayless,Philadelphia,54,35,44,55,54,116,146,39,65,15,46,38
113,M. Fultz,Philadelphia,22,9,16,19,0,53,0,7,12,7,5,8
114,D. Šarić,Philadelphia,193,171,198,236,152,470,381,74,358,149,146,95
115,T. Luwawu-Cabarrot,Philadelphia,54,46,57,47,53,109,158,49,58,14,38,31
116,A. Johnson,Philadelphia,94,45,77,110,8,193,27,67,176,110,52,31
117,T. McConnell,Philadelphia,282,29,37,168,25,327,59,69,178,34,112,42
118,A. Nader,Boston,22,22,34,21,22,66,60,38,48,10,29,14
119,D. Theis,Boston,56,61,81,108,18,175,58,62,184,90,56,22
120,G. Antetokounmpo,Milwaukee,338,472,622,670,42,1201,131,71,557,155,206,122
121,T. Maker,Milwaukee,46,62,90,98,30,207,100,70,148,74,42,22
122,M. Brogdon,Milwaukee,149,69,77,179,59,333,156,46,129,23,65,61
123,K. Middleton,Milwaukee,301,255,289,415,141,796,384,76,352,40,177,109
124,T. Snell,Milwaukee,90,36,45,72,101,146,243,69,121,9,36,36
125,M. Dellavedova,Milwaukee,142,18,19,26,29,72,77,37,50,14,48,20
126,G. Monroe,Milwaukee,5,2,4,16,0,33,0,5,19,6,6,2
127,J. Henson,Milwaukee,101,86,144,262,1,454,6,70,342,138,82,36
128,M. Teletović,Milwaukee,10,0,0,4,21,12,45,10,20,3,7,3
129,J. Green,Memphis,79,80,111,180,43,361,127,55,318,147,78,45
130,J. Ennis,Memphis,49,63,72,78,30,138,84,45,104,53,39,22
131,M. Gasol,Memphis,291,256,310,318,105,697,311,70,501,75,188,106
132,M. Conley,Memphis,49,51,61,40,24,91,77,12,27,0,18,18
133,A. Harrison,Memphis,177,123,158,134,47,287,142,56,108,23,81,57
134,B. Wright,Memphis,13,21,33,57,0,99,0,27,61,32,8,13
135,D. Brooks,Memphis,110,93,127,214,83,446,232,76,184,45,109,86
136,T. Evans,Memphis,269,155,199,252,114,523,286,52,221,44,117,96
137,C. Parsons,Memphis,69,17,27,57,51,113,121,36,76,14,35,20
138,M. Chalmers,Memphis,188,105,122,109,50,242,178,62,137,13,110,45
139,J. Martin,Memphis,71,87,112,180,31,386,93,71,214,96,82,39
140,E. Moore,New Orleans,170,41,59,270,114,495,274,76,171,55,96,86
141,A. Davis,New Orleans,159,430,511,669,52,1191,154,69,594,171,148,86
142,D. Cousins,New Orleans,257,291,391,302,104,570,294,48,514,105,242,97
143,J. Holiday,New Orleans,438,167,209,461,112,832,334,75,282,57,200,114
144,D. Cunningham,New Orleans,26,20,36,64,35,117,108,50,145,48,17,18
145,T. Allen,New Orleans,9,11,21,40,4,79,12,21,27,20,19,15
146,I. Clark,New Orleans,101,33,45,150,54,283,182,70,108,12,54,53
147,J. Crawford,New Orleans,9,0,0,3,4,9,5,2,1,2,4,2
148,D. Miller,New Orleans,103,48,54,59,139,112,333,76,137,15,55,49
149,W. Matthews,Dallas,172,82,100,130,153,295,402,63,170,28,84,65
150,D. Smith,Dallas,325,130,187,278,101,640,319,65,194,46,183,101
151,D. Nowitzki,Dallas,118,83,92,203,134,413,323,75,405,22,51,53
