,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,D. West,Indiana,208,183,234,417,4,866,13,75,394,113,129,107
1,R. Hibbert,Indiana,86,199,258,317,2,698,5,75,322,197,141,86
2,P. George,Indiana,264,346,397,373,168,807,467,75,442,58,213,162
3,L. Stephenson,Indiana,337,135,188,327,81,600,232,73,437,94,195,96
4,G. Hill,Indiana,249,126,153,169,91,339,245,70,221,46,88,75
5,L. Scola,Indiana,68,88,122,227,1,491,6,75,281,73,98,60
6,O. Johnson,Indiana,16,17,22,25,8,55,41,34,44,7,14,12
7,C. Watson,Indiana,104,60,75,89,45,180,134,60,77,19,53,41
8,S. Hill,Indiana,10,2,3,9,6,13,19,21,25,9,11,2
9,I. Mahinmi,Indiana,21,78,127,77,0,172,1,71,134,98,52,24
10,A. Afflalo,Orlando,228,241,291,307,120,654,276,65,214,30,135,89
11,J. Maxiell,Orlando,9,13,27,47,0,103,0,33,57,28,14,13
12,J. Nelson,Orlando,435,84,95,144,132,326,371,63,189,25,150,72
13,N. Vučević,Orlando,102,104,135,350,0,685,0,56,438,181,109,53
14,M. Harkless,Orlando,67,77,131,148,51,298,135,71,179,62,69,71
15,A. Nicholson,Orlando,21,42,51,130,25,286,83,68,178,48,47,37
16,E. Moore,Orlando,97,37,52,119,49,261,144,71,97,26,48,55
17,V. Oladipo,Orlando,302,229,294,291,65,651,208,72,268,40,233,108
18,K. O'Quinn,Orlando,69,45,64,145,0,295,2,60,224,83,62,29
19,R. Price,Orlando,45,6,9,15,7,38,36,28,32,7,21,12
20,S. Jones,Orlando,2,2,4,6,0,17,0,9,8,8,2,2
21,M. Chalmers,Miami,324,95,129,137,79,278,202,65,145,35,149,66
22,U. Haslem,Miami,11,18,33,50,0,107,0,36,86,30,14,12
23,L. James,Miami,452,373,498,589,102,941,273,70,413,73,245,79
