,Name,Team,Assists,Free Throws,Free Throw Attempts,Two Pointers,Three Pointers,Two Point Attempts,Three Point Attempts,Games Played,Defensive Rebounds,Offensive Rebounds,Turnovers,Half Misses
0,J. Tatum,Boston,158,180,210,334,110,687,296,75,388,68,117,127
1,J. Brown,Boston,97,130,196,265,92,502,269,72,245,64,95,85
2,A. Horford,Boston,260,70,86,288,70,477,197,64,314,114,96,63
3,G. Hayward,Boston,232,139,168,197,73,374,221,67,251,50,101,73
4,K. Irving,Boston,445,184,213,412,161,765,405,63,249,69,160,110
5,T. Rozier,Boston,219,63,82,133,111,316,317,74,261,31,63,73
6,M. Morris,Boston,103,134,161,227,141,438,373,72,369,72,90,83
7,M. Smart,Boston,309,99,123,108,119,213,327,76,170,55,115,47
8,A. Baynes,Boston,52,45,54,75,20,143,58,46,127,77,36,23
9,D. Theis,Boston,65,55,74,116,26,190,63,60,131,84,32,23
10,S. Ojeleye,Boston,19,23,34,32,26,56,80,47,58,22,19,14
11,B. Wanamaker,Boston,44,18,20,22,16,50,32,32,29,3,17,7
12,R. Covington,Philadelphia,14,16,22,20,30,40,77,13,60,7,22,16
13,D. Šarić,Philadelphia,26,27,30,27,21,62,70,13,65,21,25,14
14,B. Simmons,Philadelphia,579,243,402,513,0,896,5,74,502,160,259,111
15,J. Embiid,Philadelphia,216,510,630,483,76,901,251,62,692,156,221,122
16,M. Fultz,Philadelphia,59,21,37,61,4,141,14,19,44,26,25,14
17,J. Redick,Philadelphia,198,183,204,195,221,396,565,72,153,19,96,110
18,A. Johnson,Philadelphia,56,27,36,59,11,103,36,46,88,39,45,19
19,T. McConnell,Philadelphia,246,28,35,182,13,337,41,70,133,26,85,48
20,L. Shamet,Philadelphia,59,41,51,54,99,102,245,54,64,14,26,48
21,K. Thompson,Golden State,176,121,147,397,231,770,568,73,248,37,111,131
22,K. Durant,Golden State,422,424,480,557,130,960,372,73,446,33,216,130
23,S. Curry,Golden State,337,237,258,263,335,503,767,64,300,43,180,133
24,D. Green,Golden State,423,60,88,126,42,231,152,61,389,55,155,49
25,D. Jones,Golden State,28,24,37,53,0,74,0,24,44,31,16,3
26,K. Looney,Golden State,115,65,105,194,1,303,10,74,215,180,48,31
27,A. Iguodala,Golden State,207,39,67,102,47,154,138,66,200,47,49,31
28,Q. Cook,Golden State,102,16,21,102,71,204,178,64,124,21,43,33
29,S. Livingston,Golden State,111,40,49,104,0,202,2,59,72,40,37,21
30,A. McKinnie,Golden State,27,24,42,86,37,146,105,64,147,77,27,30
31,J. Jerebko,Golden State,88,64,78,88,62,151,171,66,207,69,39,40
32,J. Bell,Golden State,68,22,37,84,0,162,2,60,116,49,36,14
33,P. George,Oklahoma City,300,404,483,394,277,811,715,73,498,100,197,191
34,S. Adams,Oklahoma City,119,141,277,460,0,766,2,75,353,364,128,86
35,D. Schröder,Oklahoma City,307,168,208,314,111,703,331,74,227,34,161,142
36,P. Patterson,Oklahoma City,31,19,30,36,46,82,136,59,104,41,21,31
37,T. Ferguson,Oklahoma City,64,33,44,70,95,131,265,69,93,29,40,62
38,N. Noel,Oklahoma City,41,49,74,152,0,262,0,72,192,119,41,21
39,R. Felton,Oklahoma City,41,12,13,34,12,68,46,26,23,4,13,11
40,Á. Abrines,Oklahoma City,20,12,12,15,41,30,127,31,43,5,14,20
41,J. Grant,Oklahoma City,76,148,207,274,100,497,258,75,302,88,64,96
42,H. Diallo,Oklahoma City,17,36,59,71,4,141,24,47,59,38,23,34
43,N. Batum,Charlotte,239,75,87,137,114,263,293,71,307,70,115,44
44,K. Walker,Charlotte,447,325,387,421,239,869,680,76,283,51,199,167
45,M. Williams,Charlotte,92,66,86,135,140,270,378,74,326,76,46,71
46,J. Lamb,Charlotte,156,202,228,285,104,596,305,73,346,60,77,126
47,C. Zeller,Charlotte,102,111,141,184,6,323,22,49,223,110,62,43
48,M. Monk,Charlotte,108,85,94,110,103,244,307,67,100,13,83,55
49,M. Kidd-Gilchrist,Charlotte,56,93,121,139,12,275,41,60,149,87,41,35
50,W. Hernangómez,Charlotte,57,95,136,133,15,242,37,54,184,110,53,30
51,T. Parker,Charlotte,207,91,124,200,13,412,51,56,69,14,74,55
52,M. Bridges,Charlotte,76,51,69,154,59,282,178,74,232,59,46,47
